Colleges,Rating,Reviews,NIRF_Ranking,City,State,Ownership,Fees,BTech_Courses,MTech_Courses
"VRSEC Vijayawada - Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada",4.2,99, 151-200, Vijayawada,Andhra Pradesh,Private,,9 ,10 
"DEI Agra - Dayalbagh Educational Institute, Agra",4.2,114, 151-200, Agra,Uttar Pradesh,Public/Govt,₹50.73 K,6 ,3 
"Annamalai University - Annamalai University, Annamalai Nagar",4.1,22, 151-200, Cuddalore,Tamil Nadu,Public/Govt,,28 ,24 
NIT Nagaland - National Institute of Technology Nagaland,3.8,9, 151-200, Dimapur,Nagaland,Public/Govt,₹5.61 Lakhs,6 ,
NIT Sikkim - National Institute of Technology Sikkim,4.3,10, 151-200, Barfung,Sikkim,Public/Govt,₹5.71 Lakhs,7 ,9 
"GHRCE Nagpur - GH Raisoni College of Engineering, Nagpur",4.3,76, 151-200, Nagpur,Maharashtra,Private,,22 ,8 
"RMK Engineering College, Thiruvallur",4.3,131, 151-200, Tiruvallur,Tamil Nadu,Private,₹2 Lakhs,11 ,
"Kumaraguru College of Technology, Coimbatore",4.5,35, 151-200, Coimbatore,Tamil Nadu,Private,,15 ,12 
"GLA University, Mathura",4.3,414, 151-200, Mathura,Uttar Pradesh,Private,,22 ,
"Jamia Hamdard, New Delhi",4.4,103, 201-300, New Delhi,Delhi,Private,₹8.53 Lakhs,6 ,5 
"DIT University, Dehradun",4.0,177, 201-300, Dehradun,Uttarakhand,Private,₹12.47 Lakhs,23 ,
"Amity University, Gwalior",4.3,143, 201-300, Gwalior,Madhya Pradesh,Private,₹2.12 Lakhs,,
"IITRAM Ahmedabad - Institute of Infrastructure Technology Research and Management, Ahmedabad",3.6,49, 201-300, Ahmedabad,Gujarat,Public/Govt,₹4.79 Lakhs,4 ,5 
"SMIT Sikkim - Sikkim Manipal Institute of Technology, Majitar, East Sikkim",4.2,54, 201-300, Majitar,Sikkim,Private,₹13.60 Lakhs,18 ,4 
"QISCET Ongole - QIS College of Engineering and Technology, Ongole",3.6,57, 201-300, Ongole,Andhra Pradesh,Private,,14 ,6 
"PSVPEC Chennai - Prince Shri Venkateshwara Padmavathy Engineering College, Chennai",3.2,2, 201-300, Chennai,Tamil Nadu,Private,,6 ,
"Panimalar Engineering College, Chennai",3.5,35, 201-300, Chennai,Tamil Nadu,Private,₹2.20 Lakhs,8 ,2 
"KSRCT Tiruchengode - KS Rangasamy College of Technology, Tiruchengode",4.1,18, 201-300, Tiruchengode,Tamil Nadu,Private,,14 ,11 
"LNCT Bhopal - Lakshmi Narain College of Technology, Bhopal",4.2,193, 201-300, Bhopal,Madhya Pradesh,Private,,20 ,6 
"CMR College of Engineering and Technology, Hyderabad",4.4,148, 201-300, Hyderabad,Telangana,Private,₹4.60 Lakhs,7 ,4 
"BVCOE Delhi - Bharati Vidyapeeth's College of Engineering, Delhi",3.6,272, 201-300, New Delhi,Delhi,Private,₹5.67 Lakhs,11 ,
"Dr DY Patil University, Navi Mumbai",4.4,18, 201-300, Navi Mumbai,Maharashtra,Private,,9 ,5 
"VIIT Visakhapatnam - Vignan's Institute of Information Technology, Visakhapatnam",4.2,193, 201-300, Visakhapatnam,Andhra Pradesh,Private,,11 ,9 
"DAIICT Gandhinagar - Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar",4.3,63, 201-300, Gandhinagar,Gujarat,Private,₹7.08 Lakhs,4 ,6 
"GIET Rajahmundry - Godavari Institute of Engineering and Technology, Rajahmundry",4.2,65, 201-300, Rajahmundry,Andhra Pradesh,Private,₹2.35 Lakhs,12 ,5 
"JIS College of Engineering, Nadia",4.1,60, 201-300, Nadia,West Bengal,Private,₹5.50 Lakhs,17 ,4 
"UICT Jalgaon - University Institute of Chemical Technology, Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",4.0,4, 201-300, Bambhori Pr. Chandsar,Maharashtra,Public/Govt,,5 ,3 
"SGSITS Indore - Shri Govindram Seksaria Institute of Technology and Science, Indore",4.5,364, 201-300, Indore,Madhya Pradesh,Private,₹4.64 Lakhs,10 ,18 
"MKCE Karur - M Kumarasamy College of Engineering, Karur",3.9,13, 201-300, Karur,Tamil Nadu,Private,,11 ,4 
"GCET Greater Noida - Galgotias College of Engineering and Technology, Greater Noida",4.3,181, 201-300, Greater Noida,Uttar Pradesh,Private,₹4.62 Lakhs,16 ,
"Malla Reddy Engineering College, Secunderabad",3.8,47, 201-300, Secunderabad,Telangana,Private,₹4.60 Lakhs,14 ,5 
"JSS Science and Technology University, Mysuru",4.2,42, 201-300, Mysuru,Karnataka,Private,₹64 K,8 ,
"KITSW Warangal - Kakatiya Institute of Technology and Science, Warangal",4.5,149, 201-300, Warangal,Telangana,Private,₹5 Lakhs,12 ,8 
"GCT Coimbatore - Government College of Technology, Coimbatore",4.5,7, 201-300, Coimbatore,Tamil Nadu,Public/Govt,₹41.32 K,13 ,11 
"Rabindranath Tagore University, Raisen",4.2,20, 201-300, Raisen,Madhya Pradesh,Private,,,7 
"MSU Baroda - Maharaja Sayajirao University of Baroda, Vadodara",4.4,243, 201-300, Vadodara,Gujarat,Public/Govt,,,30 
"Dr MGR Educational and Research Institute, Chennai",4.1,28, 201-300, Chennai,Tamil Nadu,Private,₹3.20 Lakhs,41 ,42 
"SNS College of Technology, Coimbatore",4.5,63, 201-300, Coimbatore,Tamil Nadu,Private,,13 ,5 
"MB School of Engineering, Mohan Babu University, Tirupati",3.9,248, 201-300, Tirupati,Andhra Pradesh,Private,,,
"BIT Sindri - BIT Sindri, Dhanbad",4.4,300, 201-300, Dhanbad,Jharkhand,Public/Govt,₹68.60 K,11 ,15 
"CMR Institute of Technology, Hyderabad",4.0,60, 201-300, Hyderabad,Telangana,Private,₹4.40 Lakhs,7 ,3 
"HICET Coimbatore - Hindusthan College of Engineering and Technology, Coimbatore",4.1,19, 201-300, Coimbatore,Tamil Nadu,Private,,15 ,5 
"Saveetha Engineering College, Chennai",4.0,74, 201-300, Chennai,Tamil Nadu,Private,,19 ,
"Narasaraopeta Engineering College, Narasaraopet",4.3,33, 201-300, Narasaraopet,Andhra Pradesh,Private,₹2.66 Lakhs,10 ,4 
"GIET University, Gunupur",4.1,40, 201-300, Gunupur,Odisha,Private,,17 ,12 
"DSCE Bangalore - Dayananda Sagar College of Engineering, Bangalore",4.0,133, 201-300, Bangalore,Karnataka,Private,₹5.16 Lakhs,20 ,
"Chandigarh Engineering College, Jhanjeri",4.4,37, 201-300, Jhanjheri,Punjab,Private,₹5.21 Lakhs,7 ,
"Haldia Institute of Technology (HIT) Haldia - Haldia Institute of Technology, Haldia",4.1,145, 201-300, Haldia,West Bengal,Private,₹5.78 Lakhs,14 ,7 
"St Joseph's College of Engineering, Chennai",3.4,34, 201-300, Chennai,Tamil Nadu,Private,,12 ,
"RVR and JC College of Engineering, Guntur",4.1,67, 201-300, Guntur,Andhra Pradesh,Private,₹4.20 Lakhs,11 ,6 
"KJ Somaiya College of Engineering, Mumbai",4.0,83, 201-300, Mumbai,Maharashtra,Private,₹18.68 Lakhs,10 ,9 
IIPE Visakhapatnam - Indian Institute of Petroleum and Energy Visakhapatnam,5.0,1, 201-300, Visakhapatnam,Andhra Pradesh,Public/Govt,₹6.42 Lakhs,3 ,
"IES College of Technology, Bhopal",4.2,19, 201-300, Bhopal,Madhya Pradesh,Private,,10 ,3 
"RMD Engineering College, Thiruvallur",4.7,96, 201-300, Tiruvallur,Tamil Nadu,Private,₹2.20 Lakhs,5 ,
Allahabad University - University of Allahabad Allahabad,4.2,197, 201-300, Allahabad,Uttar Pradesh,Public/Govt,,3 ,3 
"MKSSS's Cummins College of Engineering for Women, Pune",4.4,24, 201-300, Pune,Maharashtra,Private,₹7.26 Lakhs,5 ,2 
"IIIT Bhubaneswar - International Institute of Information Technology, Bhubaneswar",3.9,110, 201-300, Bhubaneswar,Odisha,Public/Govt,₹4.82 Lakhs,5 ,
"AIT Pune - Army Institute of Technology, Pune",4.2,209, 201-300, Pune,Maharashtra,Private,₹8.62 Lakhs,4 ,
"PEC Puducherry - Puducherry Technological University, Puducherry",4.3,39, 201-300, Puducherry,Puducherry,Public/Govt,,9 ,14 
"REVA University, Bangalore",4.6,80, 201-300, Bangalore,Karnataka,Private,,19 ,12 
"LBRCE Mylavaram - Lakireddy Bali Reddy College of Engineering, Mylavaram",3.8,75, 201-300, Krishna,Andhra Pradesh,Private,₹2.79 Lakhs,9 ,4 
"Karpagam College of Engineering, Coimbatore",4.2,15, 201-300, Coimbatore,Tamil Nadu,Private,,13 ,
"KCG College of Technology, Chennai",3.9,22, 201-300, Chennai,Tamil Nadu,Private,,13 ,
"Rathinam Technical Campus Institute of Technology, Coimbatore",4.2,2, 201-300, Coimbatore,Tamil Nadu,Private,,11 ,2 
"KMBB College of Engineering and Technology, Bhubaneswar",,, 201-300, Bhubaneswar,Odisha,Private,₹4.80 Lakhs,5 ,
"Integral University, Lucknow",4.3,121, 201-300, Lucknow,Uttar Pradesh,Private,₹1.60 Lakhs,34 ,24 
"CUTM Paralakhemundi - Centurion University of Technology and Management, Paralakhemundi",3.9,7, 201-300, Gajapati,Odisha,Private,₹4 Lakhs,13 ,6 
"LNMIIT Jaipur - LNM Institute of Information Technology, Jaipur",4.5,105, 201-300, Jaipur,Rajasthan,Private,₹19.06 Lakhs,4 ,
"JUIT Solan - Jaypee University of Information Technology, Solan",4.2,117, 201-300, Solan,Himachal Pradesh,Private,₹4.00 Lakhs,11 ,
"SECE Coimbatore - Sri Eshwar College of Engineering, Coimbatore",4.1,21, 201-300, Coimbatore,Tamil Nadu,Private,₹2.20 Lakhs,9 ,3 
"KIT Coimbatore - Kalaignar Karunanidhi Institute of Technology, Coimbatore",5.0,1, 201-300, Coimbatore,Tamil Nadu,Private,,11 ,5 
"GEC Bhubaneswar - Gandhi Engineering College, Bhubaneswar",4.0,15, 201-300, Badaraghunathpur,Odisha,Private,,8 ,6 
"CMR Engineering College, Hyderabad",4.6,81, 201-300, Hyderabad,Telangana,Private,,5 ,2 
"BMSIT Bangalore - BMS Institute of Technology and Management, Bangalore",4.3,86, 201-300, Bangalore,Karnataka,Private,,9 ,
"SPIT Mumbai - Sardar Patel Institute of Technology, Mumbai",4.2,56, 201-300, Mumbai,Maharashtra,Private,₹7.84 Lakhs,3 ,
"AITAM Tekkali - Aditya Institute of Technology and Management, Tekkali",4.4,20, 201-300, Srikakulam,Andhra Pradesh,Private,₹2.69 Lakhs,8 ,5 
"PESCE Mandya - PES College of Engineering, Mandya",3.9,116, 201-300, Mandya,Karnataka,Private,₹2.63 Lakhs,11 ,
"MITS Madanapalle - Madanapalle Institute of Technology and Science, Madanapalle",4.6,333, 201-300, Madanapalle,Andhra Pradesh,Private,₹3.07 Lakhs,11 ,2 
"MSIT Delhi - Maharaja Surajmal Institute of Technology, Delhi",3.9,108, 201-300, New Delhi,Delhi,Private,₹6.38 Lakhs,4 ,
"EGS Pillay Engineering College, Nagapattinam",,, 201-300, Nagapattinam,Tamil Nadu,Private,,9 ,5 
"VJIT Hyderabad - Vidya Jyothi Institute of Technology, Hyderabad",3.6,60, 201-300, Hyderabad,Telangana,Private,₹4.60 Lakhs,10 ,5 
"SVCE - Sri Venkateswara College of Engineering, Tirupati",4.1,109, 201-300, Tirupati,Andhra Pradesh,Private,,9 ,2 
"Vasavi College of Engineering (VCE) - Vasavi College of Engineering, Hyderabad",4.3,88, 201-300, Hyderabad,Telangana,Private,₹5.60 Lakhs,7 ,4 
"Sri Sai Ram Institute of Technology, Chennai",4.0,19, 201-300, Chennai,Tamil Nadu,Private,,8 ,2 
"JSSATE Noida - JSS Academy of Technical Education, Noida",4.0,184, 201-300, Noida,Uttar Pradesh,Private,₹4.86 Lakhs,9 ,
"GMRIT Rajam - GMR Institute of Technology, Rajam",4.4,166, 201-300, Srikakulam,Andhra Pradesh,Private,,8 ,5 
"Sri Manakula Vinayagar Engineering College, Puducherry",3.7,112, 201-300, Madagadipet,Puducherry,Private,,13 ,8 
"SNIST Ghatkesar - Sreenidhi Institute of Science and Technology, Ghatkesar",4.0,170, 201-300, Ghatkesar,Telangana,Private,₹5.20 Lakhs,9 ,4 
"SVCET Chittoor - Sri Venkateswara College of Engineering and Technology, Chittoor",4.0,21, 201-300, Tirupati,Andhra Pradesh,Private,₹1.92 Lakhs,13 ,6 
"GITA Bhubaneswar - Gandhi Institute for Technological Advancement, Bhubaneswar",3.7,25, 201-300, Badaraghunathpur,Odisha,Private,,12 ,5 
"MLRIT Dundigal - MLR Institute of Technology, Dundigal",4.3,31, 201-300, Hyderabad,Telangana,Private,₹4.40 Lakhs,10 ,4 
"DJSCE Mumbai - Dwarkadas J Sanghvi College of Engineering, Mumbai",4.0,34, 201-300, Mumbai,Maharashtra,Private,₹8.80 Lakhs,8 ,
"K Ramakrishnan College of Technology, Tiruchirappalli",4.6,4, 201-300, Tiruchirappalli,Tamil Nadu,Private,,8 ,4 
"RGMCET Kurnool - Rajeev Gandhi Memorial College of Engineering and Technology, Kurnool",3.5,13, 201-300, Kurnool,Andhra Pradesh,Private,₹3.04 Lakhs,8 ,5 
"GEC Thrissur - Government Engineering College, Thrissur",4.3,56, 201-300, Thrissur,Kerala,Public/Govt,,9 ,19 
"PVPSIT Vijayawada - Prasad V Potluri Siddhartha Institute of Technology, Vijayawada",4.5,74, 201-300, Vijayawada,Andhra Pradesh,Private,₹2.80 Lakhs,8 ,2 
"KUK Kurukshetra - Kurukshetra University, Kurukshetra",4.0,101, 201-300, Kurukshetra,Haryana,Public/Govt,,9 ,7 
"RCOEM Nagpur - Shri Ramdeobaba College of Engineering and Management, Nagpur",4.2,85, 201-300, Nagpur,Maharashtra,Private,,17 ,8 
"Silicon Institute of Technology, Sambalpur",3.9,5, 201-300, Sambalpur,Odisha,Private,,5 ,
"RMKCET Thiruvallur - RMK College of Engineering and Technology, Thiruvallur",3.7,8, 201-300, Tiruvallur,Tamil Nadu,Private,,5 ,
"NIT Kolkata - Narula Institute of Technology, Agarpara",4.3,136, 201-300, Kolkata,West Bengal,Private,₹7.00 Lakhs,11 ,5 
"PSNA College of Engineering and Technology, Dindigul",4.5,16, 201-300, Dindigul,Tamil Nadu,Private,₹2.78 Lakhs,11 ,
"MAIT Delhi - Maharaja Agrasen Institute of Technology, Delhi",3.8,318, 201-300, New Delhi,Delhi,Private,₹7.44 Lakhs,15 ,
"Aditya Engineering College, Surampalem",4.2,39, 201-300, Surampalem,Andhra Pradesh,Private,,11 ,5 
"K Ramakrishnan College of Engineering, Tiruchirappalli",3.9,5, 201-300, Tiruchirappalli,Tamil Nadu,Private,,8 ,4 
"ABES Engineering College, Ghaziabad",4.1,185, 201-300, Ghaziabad,Uttar Pradesh,Private,₹5.93 Lakhs,10 ,2 
"Sri Krishnadevaraya University, Anantapur",4.0,19,, Anantapur,Andhra Pradesh,Public/Govt,₹1.53 Lakhs,5 ,
"NCR Technical Campus, Aligarh",,,, Aligarh,Uttar Pradesh,Private,,7 ,
"Kalinga University, Raipur",4.0,17,, Naya Raipur,Chhattisgarh,Private,₹6.18 Lakhs,4 ,
"Rai University, Ahmedabad",4.0,18,, Saroda,Gujarat,Private,₹1.33 Lakhs,3 ,
"BITS Hyderabad - BITS Pilani- Hyderabad Campus, Hyderabad",4.4,59,, Hyderabad,Telangana,Private,₹22.32 Lakhs,8 ,13 
"SRM Institute of Science and Technology, Vadapalani Campus",4.4,18,, Vadapalani,Tamil Nadu,Private,₹12 Lakhs,9 ,
"Navrachana University, Vadodara",3.9,16,, Vadodara,Gujarat,Private,₹4.36 Lakhs,5 ,4 
"NIILM University, Kaithal",1.4,1,, Ujana,Haryana,Private,,2 ,
"SV Institute of Engineering and Technology, Moinabad",,,, Hyderabad,Telangana,Private,₹1.40 Lakhs,5 ,3 
"Sri Guru Granth Sahib World University, Fatehgarh Sahib",,,, Fatehgarh Sahib,Punjab,Private,₹3.96 Lakhs,6 ,
"SRM Institute of Science and Technology, Vadapalani Campus",4.4,18,, Vadapalani,Tamil Nadu,Private,₹12 Lakhs,9 ,
"SV Institute of Engineering and Technology, Moinabad",,,, Hyderabad,Telangana,Private,₹1.40 Lakhs,5 ,3 
"NCR Technical Campus, Aligarh",,,, Aligarh,Uttar Pradesh,Private,,7 ,
"Kalinga University, Raipur",4.0,17,, Naya Raipur,Chhattisgarh,Private,₹6.18 Lakhs,4 ,
"Rai University, Ahmedabad",4.0,18,, Saroda,Gujarat,Private,₹1.33 Lakhs,3 ,
"Sri Guru Granth Sahib World University, Fatehgarh Sahib",,,, Fatehgarh Sahib,Punjab,Private,₹3.96 Lakhs,6 ,
"BITS Hyderabad - BITS Pilani- Hyderabad Campus, Hyderabad",4.4,59,, Hyderabad,Telangana,Private,₹22.32 Lakhs,8 ,13 
"Navrachana University, Vadodara",3.9,16,, Vadodara,Gujarat,Private,₹4.36 Lakhs,5 ,4 
"NIILM University, Kaithal",1.4,1,Not Mentioned, Ujana,Haryana,Private,,2 ,
"Mahatma Jyoti Rao Phoole University, Jaipur",4.2,13,Not Mentioned, Jaipur,Rajasthan,Private,,7 ,
"Pacific University, Udaipur",3.7,3,Not Mentioned, Udaipur,Rajasthan,Private,₹2.40 Lakhs,5 ,
"Jagannath University, Jaipur",3.9,26,Not Mentioned, Jaipur,Rajasthan,Private,,9 ,
"RKDF University, Bhopal",4.0,8,Not Mentioned, Bhopal,Madhya Pradesh,Private,,12 ,
"Sangam University, Bhilwara",4.7,4,Not Mentioned, Bhilwara,Rajasthan,Private,₹2.55 Lakhs,16 ,
"UEM Jaipur - University of Engineering and Management, Jaipur",4.3,35,Not Mentioned, Jaipur,Rajasthan,Private,₹4.24 Lakhs,12 ,5 
"Monad University, Hapur",1.5,5,Not Mentioned, Hapur,Uttar Pradesh,Private,,7 ,8 
"Sri Vasavi Institute of Engineering and Technology, Peravali",4.1,7,Not Mentioned, Krishna,Andhra Pradesh,Private,,5 ,
"Rajiv Gandhi Institute of Information Technology, Amethi",2.8,1,Not Mentioned, Amethi,Uttar Pradesh,Public/Govt,,,
"IILM Institute for Higher Education, New Delhi",3.9,21,Not Mentioned, New Delhi,Delhi,Private,₹11.70 Lakhs,,
"Kishan Institute of Engineering and Technology, Meerut",4.7,2,Not Mentioned, Asalat Nagar,Uttar Pradesh,Private,,5 ,
"West Bengal University of Animal and Fishery Sciences, Kolkata",,,Not Mentioned, Kolkata,West Bengal,Public/Govt,₹36.73 K,,5 
"SCSVMV University - Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya, Kanchipuram",4.3,91,Not Mentioned, Kanchipuram,Tamil Nadu,Private,₹6.80 Lakhs,21 ,
"Vishwa Bharathi Institute of Technology and Sciences, Ranga Reddy",4.0,1,Not Mentioned, Hyderabad,Telangana,Private,,4 ,
"Noorul Islam Centre For Higher Education, Kanyakumari",4.4,27,Not Mentioned, Kanyakumari,Tamil Nadu,Private,₹4 Lakhs,17 ,11 
"ITM University, Gwalior",4.3,120,Not Mentioned, Gwalior,Madhya Pradesh,Private,,13 ,9 
"SB Institute of Engineering and Technology, Kaithal",4.0,2,Not Mentioned, Pundri,Haryana,Private,₹2.55 Lakhs,5 ,3 
"SelaQui Academy of Higher Education, Dehradun",3.9,3,Not Mentioned, Dehradun,Uttarakhand,Private,,4 ,
"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal",4.3,18,Not Mentioned, Bhopal,Madhya Pradesh,Public/Govt,₹1.11 Lakhs,2 ,
"MGCGV Chitrakoot - Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya, Chitrakoot",3.2,3,Not Mentioned, Satna,Madhya Pradesh,Public/Govt,,4 ,
"AKU Patna - Aryabhatta Knowledge University, Patna",4.2,8,Not Mentioned, Patna,Bihar,Public/Govt,₹4.26 Lakhs,5 ,11 
"Shobhit University, Gangoh",4.0,6,Not Mentioned, Saharanpur,Uttar Pradesh,Private,₹3.45 Lakhs,5 ,9 
"Central University Jammu - Central University of Jammu, Jammu",4.4,9,Not Mentioned, Jammu,Jammu and,Public/Govt,₹4.88 Lakhs,,
"Gandhigram Rural Institute, Dindigul",2.0,1,Not Mentioned, Dindigul,Tamil Nadu,Public/Govt,₹1.76 Lakhs,,
"CCSHAU Hisar - Chaudhary Charan Singh Haryana Agricultural University, Hisar",4.4,18,Not Mentioned, Hisar,Haryana,Public/Govt,₹85.76 K,2 ,3 
"FRI Dehradun - Forest Research Institute, Dehradun",3.8,3,Not Mentioned, Dehradun,Uttarakhand,Public/Govt,₹1.33 Lakhs,,
"K R Mangalam University, Gurugram",4.1,26,Not Mentioned, Sohna,Haryana,Private,₹8.40 Lakhs,6 ,
"Jharkhand Rai University, Ranchi",4.5,4,Not Mentioned, Ranchi,Jharkhand,Private,₹4.10 Lakhs,4 ,
"Auro University, Surat",4.0,8,Not Mentioned, Surat,Gujarat,Private,₹2.04 Lakhs,,
"ICFAI University, Himachal Pradesh",,,Not Mentioned, Solan,Himachal Pradesh,Private,,4 ,
"Bharathidasan University - Bharathidasan University, Tiruchirappalli",4.2,7,Not Mentioned, Tiruchirappalli,Tamil Nadu,Public/Govt,,,
"Goa University - Goa University,Taleigao Plateau, Goa",3.4,10,Not Mentioned, Taleigao,Goa,Public/Govt,,5 ,9 
"DDU Gorakhpur - Deen Dayal Upadhyaya Gorakhpur University, Gorakhpur",4.2,84,Not Mentioned, Gorakhpur,Uttar Pradesh,Public/Govt,,,
"Satavahana University, Karimnagar",3.5,2,Not Mentioned, Karimnagar,Telangana,Public/Govt,,,
"Dr BR Ambedkar University, Srikakulam",5.0,4,Not Mentioned, Srikakulam,Andhra Pradesh,Public/Govt,,5 ,
"Garden City University, Bangalore",4.5,11,Not Mentioned, Bangalore,Karnataka,Private,₹12.24 Lakhs,,
"CDLU Sirsa - Chaudhary Devi Lal University, Sirsa",4.1,24,Not Mentioned, Sirsa,Haryana,Public/Govt,₹1.63 Lakhs,5 ,5 
"DBRAU Agra - Dr BR Ambedkar University, Agra",4.4,71,Not Mentioned, Agra,Uttar Pradesh,Public/Govt,,5 ,
"Gautam Buddha University, Greater Noida",4.3,132,Not Mentioned, Greater Noida,Uttar Pradesh,Public/Govt,,4 ,19 
"BPSMV Sonipat - Bhagat Phool Singh Mahila Vishwavidyalaya, Khanpur Kalan",4.3,5,Not Mentioned, Khanpur Kalan,Haryana,Public/Govt,₹2.09 Lakhs,4 ,5 
"Central University of Tamil Nadu, Thiruvarur",4.4,6,Not Mentioned, Thiruvarur,Tamil Nadu,Public/Govt,₹83.24 K,,
"Visvesvaraya Community College, Udaipur",,,Not Mentioned, Udaipur,Rajasthan,Private,,,
"JD School Design, Bengaluru",,,Not Mentioned, Bangalore,Karnataka,Private,,,
"Government Polytechnic, Bighapur",,,Not Mentioned, Bighapur,Uttar Pradesh,Public/Govt,₹11.21 K,,
"Sri Venkateswara Polytechnic College, Tiruvannamalai",,,Not Mentioned, Tiruvannamalai,Tamil Nadu,Private,,,
"Sri Bharathi Polytechnic College for Women, Pudukkottai",,,Not Mentioned, Pudukkottai,Tamil Nadu,Private,₹37.50 K,,
"Darshan Institute of Engineering and Technology for Diploma Studies, Rajkot",,,Not Mentioned, Rajkot,Gujarat,Private,₹2.40 Lakhs,,
"Srinath University, Jamshedpur",,,Not Mentioned, Jamshedpur,Jharkhand,Private,₹1.50 Lakhs,,
"SCT Polytechnic, Bengaluru",,,Not Mentioned, Bangalore,Karnataka,Private,₹62.27 K,,
"Jyoti and Bhupat Mehta School of Health Sciences and Technology, Indian Institute of Technology Guwahati",,,Not Mentioned, Guwahati,Assam,Public/Govt,,,
"Adikavi Nannaya University, MSN Campus, Kakinada",,,Not Mentioned, Kakinada,Andhra Pradesh,Public/Govt,,,
"Pacific Institute of Safety and Health, Lucknow",,,Not Mentioned, Lucknow,Uttar Pradesh,Private,,,
"JNTUH University College of Engineering, Mahabubabad",,,Not Mentioned, Mahabubabad,Telangana,Public/Govt,,,
"Dnyandeep College of Architecture, Ratnagiri",,,Not Mentioned, Ratnagiri,Maharashtra,Private,,,
"Sree Venkateswara Engineering College, Nellore",,,Not Mentioned, Nellore,Andhra Pradesh,Private,₹1.72 Lakhs,,
"Technocrats Institute of Technology Computer Science and Engineering, Bhopal",,,Not Mentioned, Bhopal,Madhya Pradesh,Private,,,
"Cherraan College of Technology, Tirupur",,,Not Mentioned, Tiruppur,Tamil Nadu,Private,,,
"Rajkiya Engineering College, Mirzapur",,,Not Mentioned, Mirzapur,Uttar Pradesh,Public/Govt,₹1.72 Lakhs,,
"Newton School of Technology, Sonipat",5.0,1,Not Mentioned, Sonipat,Haryana,Private,₹14.90 Lakhs,,
"Kishkinda University, Bellary",,,Not Mentioned, Bellary,Karnataka,Private,₹4.59 Lakhs,,
"KMCT Institute of Emerging Technology and Management, Kozhikode",,,Not Mentioned, Kozhikode,Kerala,Private,₹3.08 Lakhs,,
"Akash Global College of Management and Science, Bengaluru",,,Not Mentioned, Bangalore,Karnataka,Private,,,
"Government Polytechnic, Bethamcherla",,,Not Mentioned, Kurnool,Andhra Pradesh,Public/Govt,,,
"Government Polytechnic, Guntakal",,,Not Mentioned, Anantapur,Andhra Pradesh,Public/Govt,,,
"Vijayam Institute of Technology, Chittoor",,,Not Mentioned, Chittoor,Andhra Pradesh,Private,,,
"Government Polytechnic, Periyapatna",,,Not Mentioned, Mysore,Karnataka,Public/Govt,,,
"Rajeev College of Professional Education, Sitamarhi",,,Not Mentioned, Sitamarhi,Bihar,Private,,,
"Yashwantrao Bhonsale Institute of Technology, Sindhudurg",,,Not Mentioned, Sindhudurg,Maharashtra,Private,,,
"MDA Education and Research Institute, Latur",,,Not Mentioned, Latur,Maharashtra,Private,,,
"NIIS Institute of Engineering and Technology, Khordha",,,Not Mentioned, Khordha,Odisha,Private,,,
"Research Development and Evaluation Training Armoured Corps Centre and School, Ahmednagar",,,Not Mentioned, Ahmednagar,Maharashtra,Public/Govt,,,
"Dev Indrawati Institute of Polytechnic, Ambedkar Nagar",,,Not Mentioned, Ambedkar Nagar,Uttar Pradesh,Private,,,
"CJY Institute of Technology, Jaunpur",,,Not Mentioned, Jaunpur,Uttar Pradesh,Private,₹90.45 K,,
"Baba Vishwanath Technical Institute, Deoria",,,Not Mentioned, Deoria,Uttar Pradesh,Private,,,
"Alipurduar Government Engineering and Management College, Alipurduar",,,Not Mentioned, Alipurduar,West Bengal,Public/Govt,₹1.00 Lakhs,,
"Chaudhary Institute of Technology, Ballia",,,Not Mentioned, Ballia,Uttar Pradesh,Private,,,
"Robin College of Education and Technology, Meerut",,,Not Mentioned, Meerut,Uttar Pradesh,Private,,,
"RP Polytechnic College, Deoria",,,Not Mentioned, Deoria,Uttar Pradesh,Private,,,
"Smt Vimalbai Uttamrao Patil Arts and Late Dr Bhaskar Sadashiv Desale Science College, Dhule",,,Not Mentioned, Dhule,Maharashtra,Private,,,
"North Campus, University of Kashmir, Baramulla",,,Not Mentioned, Baramulla,Jammu and,Public/Govt,,,
"YRL College of Arts and Science and Technology, Pithapuram",,,Not Mentioned, East Godavari,Andhra Pradesh,Private,,,
"Dr Hima Sekhar Degree College, Visakhapatnam",,,Not Mentioned, Visakhapatnam,Andhra Pradesh,Private,,,
"Amity University, Bengaluru",4.0,2,Not Mentioned, Bangalore,Karnataka,Private,₹11.60 Lakhs,,
"Koneru Lakshmaiah Education Foundation, Off Campus, Bachupally",,,Not Mentioned, Hyderabad,Telangana,Private,₹11.75 Lakhs,,
"Vikrama Simhapuri University College of Engineering, Nellore",,,Not Mentioned, Nellore,Andhra Pradesh,Public/Govt,,,
"NBC College, Kendupadar",,,Not Mentioned, Ganjam,Odisha,Private,,,
"MNR University, Hyderabad",,,Not Mentioned, Hyderabad,Telangana,Private,₹6 Lakhs,,
